Περιφερειακή ενότητα Αιτωλοακαρνανίας;209,500;104,910;104,590;3.836
Περιφερειακή ενότητα Ανατολικής Αττικής;502,090;253,580;248,510;33.185
Περιφερειακή ενότητα Άνδρου;9,170;4,570;4,600;2.413
Περιφερειακή ενότητα Αργολίδος;97,090;48,910;48,180;4.507
Περιφερειακή ενότητα Αρκαδίας;86,820;44,560;42,260;1.965
Περιφερειακή ενότητα Άρτας;67,870;33,630;34,240;4.083
Περιφερειακή ενότητα Αχαΐας;310,580;154,930;155,650;9.493
Περιφερειακή ενότητα Βοιωτίας;117,730;61,400;56,330;3.989
Περιφερειακή ενότητα Βορείου Τομέα Αθηνών;592,400;280,340;312,060;4.268,41
Περιφερειακή ενότητα Γρεβενών;31,490;16,270;15,220;1.375
Περιφερειακή ενότητα Δράμας;98,540;47,720;50,820;2.841
Περιφερειακή ενότητα Δυτικής Αττικής;161,300;82,230;79,070;16.066
Περιφερειακή ενότητα Δυτικού Τομέα Αθηνών;487,730;238,910;248,820;7.303,53
Περιφερειακή ενότητα Έβρου;147,530;74,630;72,900;3.478
Περιφερειακή ενότητα Εύβοιας;210,210;106,870;103,340;5.044
Περιφερειακή ενότητα Ευρυτανίας;20,280;10,310;9,970;1.085
Περιφερειακή ενότητα Ζακύνθου;40,650;20,270;20,380;10.023
Περιφερειακή ενότητα Ηλείας;160,110;81,560;78,550;6.116
Περιφερειακή ενότητα Ημαθίας;140,710;69,650;71,060;8.273
Περιφερειακή ενότητα Ηρακλείου;304,270;150,810;153,460;11.520
Περιφερειακή ενότητα Θάσου;13,720;6,770;6,950;3.610
Περιφερειακή ενότητα Θεσπρωτίας;43,660;21,900;21,760;2.883
Περιφερειακή ενότητα Θεσσαλονίκης;1.104.460;529,480;574,980;29.990
Περιφερειακή ενότητα Θήρας;18,560;9,400;9,160;5.897
Περιφερειακή ενότητα Ιθάκης;3,180;1,600;1,580;2.699
Περιφερειακή ενότητα Ικαρίας;9,860;4,940;4,920;3.281
Περιφερειακή ενότητα Ιωαννίνων;167,400;81,720;85,680;3.354
Περιφερειακή ενότητα Καβάλας;124,480;60,770;63,710;7.189
Περιφερειακή ενότητα Καλύμνου;29,600;14,890;14,710;7.406
Περιφερειακή ενότητα Καρδίτσας;113,070;56,040;57,030;4.290
Περιφερειακή ενότητα Καρπάθου;7,250;3,650;3,600;1.839
Περιφερειακή ενότητα Καστοριάς;50,280;25,120;25,160;2.923
Περιφερειακή ενότητα Κέας - Κύθνου;3,730;1,960;1,770;1.497
Περιφερειακή ενότητα Κεντρικού Τομέα Αθηνών;1.018.440;483,510;534,930;11.669,19
Περιφερειακή ενότητα Κέρκυρας;103,300;50,400;52,900;16.114
Περιφερειακή ενότητα Κεφαλληνίας;35,590;17,750;17,840;4.525
Περιφερειακή ενότητα Κιλκίς;80,360;40,160;40,200;3.190
Περιφερειακή ενότητα Κοζάνης;149,270;74,610;74,660;4.246
Περιφερειακή ενότητα Κορινθίας;145,360;72,930;72,430;6.348
Περιφερειακή ενότητα Κω;34,280;17,870;16,410;10.071
Περιφερειακή ενότητα Λακωνίας;89,600;46,030;43,570;2.464
Περιφερειακή ενότητα Λάρισας;284,420;141,080;143,340;5.286
Περιφερειακή ενότητα Λασιθίου;75,690;37,610;38,080;4.152
Περιφερειακή ενότητα Λέσβου;85,330;42,210;43,120;5.226
Περιφερειακή ενότητα Λευκάδας;23,750;12,000;11,750;6.673
Περιφερειακή ενότητα Λήμνου;17,270;8,940;8,330;3.315
Περιφερειακή ενότητα Μαγνησίας;189,800;93,290;96,510;8.041
Περιφερειακή ενότητα Μεσσηνίας;163,110;82,480;80,630;5.454
Περιφερειακή ενότητα Μήλου;9,930;5,120;4,810;2.739
Περιφερειακή ενότητα Μυκόνου;10,190;5,290;4,900;9.688
Περιφερειακή ενότητα Νάξου;21,380;10,780;10,600;3.436
Περιφερειακή ενότητα Νήσων;74,780;37,710;37,070;8.508
Περιφερειακή ενότητα Νοτίου Τομέα Αθηνών;526,520;248,290;278,230;7.644,46
Περιφερειακή ενότητα Ξάνθης;110,290;54,690;55,600;6.151
Περιφερειακή ενότητα Πάρου;14,900;7,460;7,440;6.170
Περιφερειακή ενότητα Πειραιώς;449,070;218,110;230,960;8.907,11
Περιφερειακή ενότητα Πελλας;139,660;69,210;70,450;5.574
Περιφερειακή ενότητα Πιερίας;127,400;62,860;64,540;8.400
Περιφερειακή ενότητα Πρέβεζας;57,720;28,640;29,080;5.572
Περιφερειακή ενότητα Ρεθύμνης;85,160;41,900;43,260;5.692
Περιφερειακή ενότητα Ροδόπης;111,610;54,520;57,090;4.389
Περιφερειακή ενότητα Ρόδου;119,640;60,330;59,310;7.572
Περιφερειακή ενότητα Σάμου;32,760;16,930;15,830;6.862
Περιφερειακή ενότητα Σερρών;176,050;85,880;90,170;4.437
Περιφερειακή ενότητα Σποράδων;13,740;6,950;6,790;4.982
Περιφερειακή ενότητα Σύρου;21,390;10,400;10,990;20.991
Περιφερειακή ενότητα Τήνου;8,590;4,270;4,320;4.417
Περιφερειακή ενότητα Τρικάλων;129,700;64,540;65,160;3.833
Περιφερειακή ενότητα Φθιώτιδας;158,220;79,240;78,980;3.563
Περιφερειακή ενότητα Φλώρινας;51,080;25,260;25,820;2.654
Περιφερειακή ενότητα Φωκίδας;40,430;20,340;20,090;1.907
Περιφερειακή ενότητα Χαλκιδικής;105,950;53,030;52,920;3.631
Περιφερειακή ενότητα Χανίων;156,220;78,440;77,780;6.575
Περιφερειακή ενότητα Χίου;52,590;26,500;26,090;5.816
